From, To, Intensity
Hildegard, Ronny, 94
Ronny, Horst, 87
Ronny, Hildegard, 71
Till, Gudrun, 36
Horst, Ronny, 74
Heino, Bertram, 67
Dieter, Klaus, 54
Klaus, Till, 7
Dieter, Yuri, 68
Ronny, Kevin, 9
Ingo, Ronny, 3
Gudrun, Bertram, 43
Horst, Ursel, 57
Bertram, Heino, 60
Till, Hugo, 34
Klaus, Bertram, 24
Horst, Yuri, 25
Bertram, Ronny, 5
Till, Yuri, 20
Bertram, Ursel, 74
Bertram, Till, 84
Hildegard, Hugo, 79
Klaus, Ronny, 58
Ronny, Kevin, 33
Ursel, Ingo, 6
Hugo, Hildegard, 60
Ingo, Hugo, 31
Dieter, Till, 3
Bertram, Ursel, 25
Klaus, Klaus, 73
